City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,-0.91,88,75,0.29,US,1702004422
1,castillos,-34.1667,-53.8333,14.39,86,1,3.67,UY,1702004425
2,puerto natales,-51.7236,-72.4875,8.29,90,92,1.53,CL,1702004428
3,quatre cocos,-20.2078,57.7625,27.27,75,61,2.98,MU,1702004430
4,nogliki,51.8333,143.1667,-6.48,94,100,6.71,RU,1702004432
5,whitehorse,60.7161,-135.0538,-4.57,85,75,6.17,CA,1702004435
6,telemaco borba,-24.3239,-50.6156,19.72,99,100,0.59,BR,1702004427
7,straldzha,42.6,26.6833,7.02,88,100,4.1,BG,1702004442
8,isafjordur,66.0755,-23.124,-2.6,79,59,3.65,IS,1702004423
9,fale old settlement,-9.3852,-171.2468,27.59,80,100,5.69,TK,1702004446
10,khandyga,62.6667,135.6,-27.5,96,100,2.22,RU,1702004449
11,meadow lakes,61.6247,-149.6011,-2.31,68,100,5.14,US,1702004156
12,warrnambool,-38.3833,142.4833,20.31,71,76,7.29,AU,1702004452
13,rondonopolis,-16.4708,-54.6356,25.09,69,11,1.05,BR,1702004300
14,dwarka,22.2394,68.9678,22.82,50,0,4.49,IN,1702004456
15,chibougamau,49.9168,-74.3659,-23.21,84,0,0.0,CA,1702004458
16,simpang,-1.2667,104.0833,30.87,63,97,2.04,ID,1702004460
17,pasuquin,18.3328,120.6177,29.97,70,40,2.06,PH,1702004462
18,blackmans bay,-43.0167,147.3167,21.07,62,76,0.89,AU,1702004464
19,georgetown,5.4112,100.3354,29.96,79,20,4.12,MY,1702004466
20,klyuchi,52.2667,79.1667,-22.75,74,95,3.53,RU,1702004468
21,linqiong,30.4159,103.4609,10.9,60,100,1.07,CN,1702004470
22,papatowai,-46.5619,169.4708,17.52,54,100,4.72,NZ,1702004472
23,westerland,54.9079,8.3033,-0.55,100,100,7.2,DE,1702004474
24,senador jose porfirio,-2.5908,-51.9542,24.08,94,76,1.2,BR,1702004476
25,port-aux-francais,-49.35,70.2167,4.49,85,97,15.54,TF,1702004426
26,constantia,44.1833,28.65,0.39,85,100,7.49,RO,1702004479
27,caluula,11.9661,50.7569,25.22,60,36,5.13,SO,1702004481
28,kodiak,57.79,-152.4072,-2.48,52,91,6.4,US,1702004486
29,grytviken,-54.2811,-36.5092,-1.32,88,60,4.53,GS,1702004488
30,qazax,41.0933,45.3661,6.95,91,97,1.08,AZ,1702004490
31,walvis bay,-22.9575,14.5053,16.16,88,1,2.94,NA,1702004494
32,mount gambier,-37.8333,140.7667,29.53,37,64,1.3,AU,1702004496
33,vorgashor,67.5833,63.95,-24.7,99,100,1.57,RU,1702004498
34,waitangi,-43.9535,-176.5597,14.9,71,86,0.89,NZ,1702004453
